date,cpi
2014-01-01,93.3
2014-02-01,93.8
2014-03-01,94.0
2014-04-01,93.9
2014-05-01,93.8
2014-06-01,94.0
2014-07-01,94.3
2014-08-01,94.3
2014-09-01,94.3
2014-10-01,94.1
2014-11-01,94.1
2014-12-01,94.0
2015-01-01,93.1
2015-02-01,93.8
2015-03-01,94.3
2015-04-01,94.7
2015-05-01,94.9
2015-06-01,94.9
2015-07-01,95.1
2015-08-01,95.0
2015-09-01,94.9
2015-10-01,94.9
2015-11-01,94.3
2015-12-01,94.3
2016-01-01,93.6
2016-02-01,93.9
2016-03-01,94.5
2016-04-01,94.6
2016-05-01,95.1
2016-06-01,95.2
2016-07-01,95.5
2016-08-01,95.4
2016-09-01,95.5
2016-10-01,95.6
2016-11-01,95.0
2016-12-01,95.6
2017-01-01,95.1
2017-02-01,95.6
2017-03-01,95.8
2017-04-01,96.2
2017-05-01,96.2
2017-06-01,96.5
2017-07-01,96.9
2017-08-01,97.0
2017-09-01,97.0
2017-10-01,96.9
2017-11-01,96.5
2017-12-01,96.9
2018-01-01,96.4
2018-02-01,96.7
2018-03-01,97.2
2018-04-01,97.5
2018-05-01,98.2
2018-06-01,98.3
2018-07-01,98.7
2018-08-01,98.8
2018-09-01,99.0
2018-10-01,99.1
2018-11-01,98.5
2018-12-01,98.5
2019-01-01,97.7
2019-02-01,98.1
2019-03-01,98.5
2019-04-01,99.4
2019-05-01,99.6
2019-06-01,99.9
2019-07-01,100.3
2019-08-01,100.2
2019-09-01,100.2
2019-10-01,100.2
2019-11-01,99.5
2019-12-01,100.0
